Name of Technology,Demand Count
Deep Learning,4
Data Visualisation,4
Natural Language Processing,5
Web Development,1
Neural Network,3
Graphic Design,1
Data Preprocessing,1
Machine Learning,3
Cyber Security,2
Blockchain,1
App Development,1
UX/UI Design,1
Statistics,1
Big Data,1
Cloud Computing,5
SQL,1
Django,4
Artificial Intelligence,4
Flutter,6
Javascript,2
